Award ID,Awarding Agency,Recipient Name,Description,Obligated Amount,Total Outlays,Place of Performance Country Code,Place of Performance State Code,Place of Performance City Code,Base Obligation Date,CFDA Number,Award URL
90ZZ0025,Department of Health and Human Services,GEORGE MASON UNIVERSITY,GRANT TRANSFER BETWEEN VA DSS AND GEORGE MASON UNIVERSITY,2998646.0,,USA,VA,VA26496,2024,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0025_7590
90ZZ0024,Department of Health and Human Services,"CHURCH WORLD SERVICE, INC.","SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT, CWS - JC",1499305.0,188193.0,USA,NY,NY*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0024_7590
90ZZ0023,Department of Health and Human Services,"LUTHERAN SERVICES FLORIDA, INC.",PROVISION OF THERAPEUTIC AND SOCIAL SERVICES TO HELP AFGHAN SURVIVORS OF COMBAT-RELATED TRAUMA THROUGHOUT FLORIDA.,2999759.0,1023938.63,USA,FL,FL*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0023_7590
90ZZ0022,Department of Health and Human Services,"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.",USCRI LAKE ERIE SASIC COLLABORATIVE,2948203.0,250122.8,USA,PA,PA*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0022_7590
90ZZ0021,Department of Health and Human Services,CENTER FOR IMMIGRANTS AND IMMIGRATION SERVICES,ASSISTANCE TO AFGHAN SURVIVORS IMPACTED BY COMBAT (AASIC),1800000.0,957827.38,USA,CO,CO*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0021_7590
90ZZ0020,Department of Health and Human Services,BETHANY CHRISTIAN SERVICES OF WESTERN PENNSYLVANIA,???? ????? (THE HOPE OF A REFUGEE) CENTER FOR AFGHAN RESILIENCE - ¿¿¿¿ ¿¿¿¿¿ (THE HOPE OF A REFUGEE) CENTER FOR AFGHAN RESILIENCE,2670701.0,725718.24,USA,PA,PA*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0020_7590
90ZZ0019,Department of Health and Human Services,"HEARTLAND ALLIANCE INTERNATIONAL, LLC",AFGHAN ALLIANCE OF GREATER CHICAGO,2248945.0,826382.05,USA,IL,IL*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0019_7590
90ZZ0018,Department of Health and Human Services,"U.S. COMMITTEE FOR REFUGEES AND IMMIGRANTS, INC.",PROVIDE CORE SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT TRAUMA IN THE U.S. SOUTH ATLANTIC REGION.,2997297.0,388228.42,USA,NC,NC*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0018_7590
90ZZ0017,Department of Health and Human Services,"INTERNATIONAL RESCUE COMMITTEE, INC.",SERVICES TO AFGHAN SURVIVORS IMPACTED BY COMBAT IN WASHINGTON STATE,3000000.0,677123.0,USA,NY,NY**061,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0017_7590
90ZZ0016,Department of Health and Human Services,CATHOLIC CHARITIES CORPORATION,SERVICES TO AFGHAN COMBAT SURVIVORS,1507608.0,358560.79,USA,OH,OH*****,2023,93.576,https://www.usaspending.gov/award/ASST_NON_90ZZ0016_7590
